"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.676695834E-1,1.548679504E0,-6.626270599E0,1.139430542E0,6.899577684E0
8.777265833E-1,1.426982574E0,-6.101911011E0,1.011446686E0,6.347646938E0
8.877835834E-1,1.246907043E0,-5.745651855E0,9.274713135E-1,5.952100088E0
8.978405833E-1,1.077609100E0,-5.431006165E0,8.879534912E-1,5.607631473E0
9.078975833E-1,8.783734131E-1,-5.154680786E0,8.970845032E-1,5.305377882E0
9.179578333E-1,6.376739502E-1,-4.947960663E0,9.476792908E-1,5.078094015E0
9.280148334E-1,4.302053833E-1,-4.810995483E0,1.023272095E0,4.937392023E0
9.380708333E-1,2.404000854E-1,-4.843028870E0,1.179846497E0,4.990466771E0
9.481278334E-1,-2.559677124E-2,-4.963827667E0,1.319955139E0,5.136391912E0
9.581848333E-1,-3.698808289E-1,-5.093158722E0,1.349593506E0,5.281901194E0
9.682418333E-1,-6.982978821E-1,-5.290747833E0,1.319356384E0,5.497302414E0
9.782988334E-1,-1.004710693E0,-5.663173370E0,1.401834869E0,5.919976115E0
9.883558333E-1,-1.362317047E0,-6.192322998E0,1.518143005E0,6.519626526E0
9.984128334E-1,-1.789378967E0,-6.694528656E0,1.551224213E0,7.101048343E0
1.008469833E0,-2.239942017E0,-7.101532288E0,1.614542542E0,7.619438870E0
1.018526833E0,-2.556683350E0,-7.515122223E0,1.784289551E0,8.136177295E0
1.028583833E0,-2.667453003E0,-7.751031647E0,1.782792664E0,8.388810809E0
1.038639833E0,-2.494263153E0,-7.996072083E0,1.839824066E0,8.575748948E0
1.048696833E0,-1.972148895E0,-8.441545715E0,2.118394775E0,8.923937570E0
1.058753833E0,-1.311871948E0,-9.084159393E0,2.184257813E0,9.434720032E0
1.068810833E0,-8.399034119E-1,-9.917626190E0,2.046843567E0,1.016141307E1
1.078867833E0,-3.435356140E-1,-1.084285217E1,1.870061188E0,1.100829636E1
1.088924833E0,2.465373230E-1,-1.176209061E1,1.846260681E0,1.190866217E1
1.098981833E0,9.460327148E-1,-1.264420624E1,2.030976563E0,1.284117577E1
1.109038833E0,1.832339630E0,-1.347946930E1,2.422711945E0,1.381749233E1
1.119095833E0,2.909649353E0,-1.403406601E1,2.921025696E0,1.462714802E1
1.129152833E0,4.090244293E0,-1.432146835E1,3.529510345E0,1.530659980E1
1.139208833E0,5.397176514E0,-1.405487274E1,4.206702118E0,1.563218810E1
1.149265833E0,6.557563477E0,-1.360281281E1,4.697980499E0,1.581484036E1
1.159322833E0,6.667135620E0,-1.374561584E1,4.552183685E0,1.594098581E1
1.169379833E0,5.562881927E0,-1.470811432E1,4.073179779E0,1.624392427E1
1.179436833E0,4.812342682E0,-1.519400391E1,3.920946350E0,1.641311113E1
1.189493833E0,4.817432098E0,-1.453402634E1,3.696113892E0,1.575140729E1
1.199550833E0,4.831652527E0,-1.336944809E1,3.279679871E0,1.458915037E1
1.209607833E0,4.558021545E0,-1.219259537E1,2.758314056E0,1.330575960E1
1.219664833E0,4.115691376E0,-1.112756012E1,2.256557465E0,1.207698478E1
1.229721833E0,3.530258789E0,-1.032433044E1,1.733844452E0,1.104811037E1
1.239777833E0,3.041974182E0,-9.598938904E0,1.262624359E0,1.014827351E1
1.249834833E0,2.897374878E0,-9.061855774E0,1.489402771E0,9.629658969E0
1.259891833E0,3.953129425E0,-1.035381912E1,5.218747559E0,1.225006648E1
1.269948833E0,5.207820282E0,-1.284883072E1,2.980302429E0,1.418083374E1
1.280005833E0,5.426964569E0,-1.171044800E1,-4.510570221E0,1.367229975E1
1.290062833E0,6.033952332E0,-1.137798935E1,-8.677754517E0,1.552966986E1
1.300119833E0,6.641089783E0,-1.137768997E1,-1.185070633E1,1.771990810E1
1.310176833E0,6.211034088E0,-1.155776550E1,-1.397942963E1,1.917246308E1
1.320233833E0,3.745511169E0,-1.181238602E1,-1.246263382E1,1.757494122E1
1.330289833E0,1.106798401E0,-1.173095535E1,-8.163873138E0,1.433489242E1
1.340346833E0,8.876541138E-2,-1.114911530E1,-4.576433258E0,1.205215302E1
1.350403833E0,-4.032614136E-1,-1.080408279E1,-2.794389038E0,1.116689012E1
1.360460833E0,-1.035247192E0,-1.050575317E1,-1.987267456E0,1.074205839E1
1.370517833E0,-1.805245972E0,-1.005369324E1,-1.640438690E0,1.034537094E1
1.380574833E0,-2.610870667E0,-9.560169525E0,-1.489851837E0,1.002163387E1
1.390631833E0,-3.185675354E0,-8.772956543E0,-1.343306580E0,9.429621760E0
1.400688833E0,-3.145558777E0,-7.781119080E0,-1.054557037E0,8.458867814E0
1.410745833E0,-2.660267944E0,-6.868017883E0,-8.702902222E-1,7.416474921E0
1.420802833E0,-2.344724121E0,-6.143374786E0,-7.756869507E-1,6.621214029E0
1.430858833E0,-2.122735748E0,-5.491630096E0,-7.228468323E-1,5.931822293E0
1.440915833E0,-2.022593994E0,-5.258864136E0,-7.533833313E-1,5.684551425E0
1.450972833E0,-1.948198700E0,-5.127437439E0,-3.867956543E-1,5.498700187E0
1.461029833E0,-1.947300568E0,-4.821623383E0,3.746708679E-1,5.213483461E0
1.471086833E0,-2.007475433E0,-4.662055206E0,9.062155151E-1,5.156155828E0
1.481143833E0,-2.124681702E0,-4.615801392E0,1.267564087E0,5.237042442E0
1.491200833E0,-2.089504852E0,-4.528532867E0,1.412612457E0,5.183542651E0
1.501257833E0,-1.999392242E0,-4.568799133E0,1.515448608E0,5.212300773E0
1.511314833E0,-1.788181458E0,-4.712799683E0,1.525777130E0,5.266504498E0
1.521371833E0,-1.430724792E0,-4.895868988E0,1.383273468E0,5.284879570E0
1.531427833E0,-1.119521942E0,-5.123395844E0,1.286724243E0,5.399830889E0
1.541484833E0,-8.933422852E-1,-5.545667725E0,1.107546844E0,5.725307936E0
1.551541833E0,-7.020401001E-1,-5.962251434E0,9.066645813E-1,6.071519013E0
1.561598833E0,-5.111869812E-1,-6.368356934E0,7.976911926E-1,6.438446505E0
1.571655833E0,-3.393443298E-1,-6.724915466E0,7.126679993E-1,6.771081027E0
1.581712833E0,-1.535806274E-1,-7.079228668E0,6.042933655E-1,7.106633241E0
1.591769833E0,6.227050781E-2,-7.584278412E0,5.381309509E-1,7.603600566E0
1.601826833E0,3.403921509E-1,-8.246651001E0,4.632865906E-1,8.266665229E0
1.611883833E0,6.483018494E-1,-9.156459045E0,3.598516846E-1,9.186431885E0
1.621940833E0,9.779164124E-1,-1.027777725E1,3.326083374E-1,1.032955246E1
1.631996833E0,1.435664520E0,-1.157198593E1,3.496728516E-1,1.166594454E1
